Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
220168_at,1.624117021,6.49011064,12.79142372,1.14E-30,2.56E-28,58.92630606,DNAI7
221751_at,0.565575281,11.85301413,12.79021375,1.15E-30,2.58E-28,58.91604687,PANK3
200628_s_at,-0.890796014,10.08302247,-12.78806569,1.17E-30,2.61E-28,58.89783454,WARS1
227533_at,1.37061851,9.880327845,12.78451927,1.21E-30,2.68E-28,58.86776837,RALGPS2
223079_s_at,-0.999208482,8.46959768,-12.77541751,1.31E-30,2.87E-28,58.79061708,GLS
233520_s_at,1.04160235,9.266656628,12.77084995,1.36E-30,2.94E-28,58.75190693,CMYA5
225229_at,0.462508359,11.42540206,12.75572223,1.55E-30,3.34E-28,58.6237317,AFF4
205569_at,-1.619928766,8.934694602,-12.74710519,1.67E-30,3.58E-28,58.5507431,LAMP3
205214_at,-0.956418642,8.019244821,-12.74419189,1.71E-30,3.66E-28,58.52607035,STK17B
227550_at,2.760492453,9.118887605,12.7335857,1.87E-30,3.97E-28,58.43626238,GFRA1
242086_at,0.963628865,8.247573297,12.7300947,1.93E-30,4.08E-28,58.40670777,SPATA6
206214_at,-1.518421236,8.578305804,-12.72863908,1.95E-30,4.11E-28,58.39438528,PLA2G7
236587_at,1.346914898,7.721642445,12.72090279,2.08E-30,4.36E-28,58.32890236,DNAAF11
201930_at,-0.678832833,11.57569663,-12.67743595,3.02E-30,6.24E-28,57.96122943,MCM6
203685_at,1.188878041,10.18110159,12.67655475,3.05E-30,6.26E-28,57.95378,BCL2
204430_s_at,-1.297203052,7.711560167,-12.66028062,3.50E-30,7.07E-28,57.81623391,SLC2A5
221874_at,1.552965715,10.21221236,12.64694307,3.93E-30,7.86E-28,57.70355168,ELAPOR1
230422_at,-1.316842113,9.162462367,-12.64649495,3.94E-30,7.86E-28,57.6997665,FPR3
209110_s_at,0.65063428,11.3170047,12.63624969,4.30E-30,8.52E-28,57.61323779,RGL2
225071_at,-0.711301219,9.507991336,-12.62906086,4.58E-30,8.99E-28,57.55253711,NUS1
225071_at,-0.711301219,9.507991336,-12.62906086,4.58E-30,8.99E-28,57.55253711,NUS1P1
225327_at,1.011274664,11.75639178,12.60060907,5.83E-30,1.14E-27,57.31241251,ATOSA
221946_at,2.451282689,6.561670767,12.59559371,6.09E-30,1.18E-27,57.27010351,PIERCE1
207198_s_at,-0.763101543,9.647321928,-12.5902227,6.38E-30,1.23E-27,57.2248007,LIMS1
226647_at,1.105034029,8.780285996,12.58425074,6.71E-30,1.28E-27,57.17443683,TMEM25
206513_at,-1.252216831,7.731662549,-12.57464818,7.28E-30,1.39E-27,57.09347185,AIM2
209408_at,-1.207937972,9.378627635,-12.56804049,7.71E-30,1.46E-27,57.03777071,KIF2C
1554519_at,-0.908863473,7.233156157,-12.56750783,7.74E-30,1.46E-27,57.03328096,CD80
226403_at,1.126104998,10.73818528,12.56577234,7.86E-30,1.48E-27,57.01865315,TMC4
227609_at,-1.097730014,10.00760518,-12.5511829,8.90E-30,1.67E-27,56.8957113,EPSTI1
208398_s_at,-0.556303056,9.646725042,-12.54743061,9.19E-30,1.72E-27,56.86409957,TBPL1
205145_s_at,0.908743201,8.020381652,12.52514892,1.11E-29,2.07E-27,56.67645155,MYL5
241310_at,1.539165588,7.846784493,12.51524455,1.21E-29,2.24E-27,56.59307776,NEK5
228340_at,0.645391122,9.886666368,12.50916348,1.27E-29,2.35E-27,56.5418994,TLE3
224583_at,-0.915112767,10.55155216,-12.50295445,1.34E-29,2.47E-27,56.48965308,COTL1
1563367_at,3.087017322,5.14341182,12.50065597,1.37E-29,2.51E-27,56.47031464,MAPT-AS1
226344_at,0.896744435,9.427644565,12.48742378,1.53E-29,2.80E-27,56.35900872,ZMAT1
209744_x_at,-0.517507957,8.697872632,-12.48416922,1.58E-29,2.87E-27,56.33163849,ITCH
211122_s_at,-2.133479967,9.32255162,-12.4816983,1.61E-29,2.92E-27,56.3108602,CXCL11
200804_at,0.496935431,13.01078539,12.47731225,1.67E-29,3.02E-27,56.27398085,TMBIM6
229227_at,0.798590379,7.409524098,12.47621184,1.69E-29,3.04E-27,56.26472899,DICER1-AS1
214038_at,-1.555750565,9.537497312,-12.46921883,1.79E-29,3.21E-27,56.20594061,CCL8
224046_s_at,-0.822450413,8.881581992,-12.45403473,2.04E-29,3.63E-27,56.07833189,PDE7A
208788_at,0.949362785,13.36959341,12.43694919,2.35E-29,4.18E-27,55.93480869,ELOVL5
212744_at,0.55414938,9.140923887,12.43579908,2.38E-29,4.20E-27,55.92514996,BBS4
241858_at,0.836970732,6.676981471,12.43103982,2.48E-29,4.35E-27,55.8851846,FPGT
227728_at,0.57794562,10.44397299,12.42807307,2.54E-29,4.45E-27,55.86027434,PPM1A
227568_at,0.771622381,10.32316765,12.40370802,3.12E-29,5.45E-27,55.65577357,HECTD2
226091_s_at,0.401398763,13.95123335,12.39792982,3.28E-29,5.69E-27,55.60729689,MRFAP1
205692_s_at,-1.698052969,7.767001651,-12.38293438,3.73E-29,6.44E-27,55.48152895,CD38
212494_at,0.869036604,9.691701772,12.38137275,3.78E-29,6.51E-27,55.46843452,TNS2
213245_at,1.758701604,8.433908896,12.37958983,3.83E-29,6.59E-27,55.45348536,ADCY1
219493_at,-1.039461655,8.383711343,-12.37511765,3.98E-29,6.82E-27,55.41599097,SHCBP1
202870_s_at,-1.418021675,9.148321253,-12.36596012,4.30E-29,7.32E-27,55.33923007,CDC20
200889_s_at,-0.662816391,10.64135077,-12.35762315,4.62E-29,7.79E-27,55.26936503,SSR1
222394_at,0.616651659,10.2172937,12.35759831,4.62E-29,7.79E-27,55.26915687,PDCD6IP
219806_s_at,-0.894069318,10.13996431,-12.35405442,4.76E-29,8.00E-27,55.23946372,SMCO4
227562_at,0.612644708,8.889755044,12.34386822,5.19E-29,8.67E-27,55.15413373,LAMTOR3
205098_at,-0.9247155,9.22989436,-12.33451294,5.62E-29,9.36E-27,55.07578662,CCR1
228816_at,0.775205299,8.621592603,12.31944009,6.39E-29,1.06E-26,54.94960198,ATP6AP1L
222760_at,1.621279985,10.5062824,12.31923789,6.40E-29,1.06E-26,54.94790966,ZNF703
219251_s_at,0.639841574,8.913763269,12.31487706,6.64E-29,1.10E-26,54.91141287,DYNC2I1
228768_at,0.457046502,10.09811034,12.31291745,6.75E-29,1.11E-26,54.89501403,FNIP1
209681_at,1.021010337,11.17789138,12.29956722,7.56E-29,1.24E-26,54.78331862,SLC19A2
205948_at,2.397227334,7.094625088,12.29147954,8.09E-29,1.32E-26,54.71567396,PTPRT
204862_s_at,0.772121813,10.54078911,12.28658075,8.44E-29,1.37E-26,54.67470884,NME3
223501_at,-0.949121835,10.13853299,-12.27746663,9.11E-29,1.47E-26,54.59850957,TNFSF13B
200727_s_at,-0.719985701,9.498591308,-12.27494618,9.31E-29,1.50E-26,54.57744085,ACTR2
203187_at,0.628271106,9.406645509,12.26826312,9.85E-29,1.58E-26,54.52158387,DOCK1
218211_s_at,1.700094986,13.09643882,12.26730346,9.93E-29,1.59E-26,54.51356404,MLPH
226309_at,0.690452973,8.573009248,12.26205168,1.04E-28,1.65E-26,54.46967879,DNAL1
208959_s_at,-0.437164411,11.19134315,-12.26078922,1.05E-28,1.66E-26,54.45913037,ERP44
226742_at,0.589759578,10.60727683,12.24491329,1.20E-28,1.88E-26,54.32651373,SAR1B
219923_at,0.942679746,8.678128663,12.23123372,1.35E-28,2.11E-26,54.21229456,TRIM45
228559_at,-1.063298816,8.68127157,-12.22808313,1.38E-28,2.15E-26,54.18599504,CENPN
218094_s_at,0.956534138,10.50528467,12.22595977,1.41E-28,2.18E-26,54.16827165,DBNDD2
218094_s_at,0.956534138,10.50528467,12.22595977,1.41E-28,2.18E-26,54.16827165,SYS1-DBNDD2
1556283_s_at,-0.686374763,8.046549536,-12.22201584,1.46E-28,2.25E-26,54.13535529,FGFR1OP2
